"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"22.46","7015.7","4092.6","0","3579","16825.1","15613.8","1710610","79258265","52699038720"
"22.83","7082.7","4092.6","0","3579","16858.7","15617","1710612","79258267","52699038720"
"23.19","7086.1","4092.6","0","3579","16854.3","15611.5","1710612","79258267","52699038720"
"23.55","7090.1","4092.6","0","3579","16864.5","15600.5","1710612","79258267","52699071488"
"23.91","7249.1","4092.6","0","3579","17008.9","15602.2","1710613","79258275","52699071488"
"24.24","7253.1","4092.6","0","3579","17013.7","15604","1710613","79258275","52699071488"
"24.59","7256.5","4092.6","0","3579","17030.8","15602.4","1710614","79258283","52699071488"
"24.94","7286.7","4092.6","0","3579","17048.6","15602.2","1710614","79258283","52699071488"
"25.31","7719","4092.6","0","3579","17479.7","15600","1710614","79258283","52699071488"
"25.67","7935.1","4092.6","0","3579","17711.4","15600.3","1710614","79258283","52699071488"
"26.03","7935.1","4092.6","0","3579","17698.2","15602.2","1710614","79258283","52699071488"
"26.4","8070.1","4092.6","0","3579","17834.1","15605.2","1710614","79258283","52699071488"
"26.74","8074.1","4092.6","0","3579","17835.5","15601.7","1710614","79258283","52699071488"
"27.09","8077.5","4092.6","0","3579","17840.2","15601.3","1710614","79258283","52699071488"
"27.44","8213.5","4092.6","0","3579","17998.7","15614.1","1710617","79258307","52699071488"
"27.79","8244.5","4092.6","0","3579","18022.8","15620.2","1710618","79258315","52699071488"
"28.14","8247.9","4092.6","0","3579","18020.6","15615","1710618","79258315","52699071488"
"28.49","8247.9","4092.6","0","3579","18033.2","15613.4","1710618","79258315","52699071488"
"28.86","8439.3","4092.6","0","3579","18213.6","15608.7","1710618","79258315","52699071488"
"29.23","8614.4","4092.6","0","3579","18381.6","15607.4","1710618","79258315","52699071488"
"29.57","8782.5","4092.6","0","3579","18563.9","15605.9","1710618","79258315","52699071488"
"29.94","8782.5","4092.6","0","3579","18550.3","15607.2","1710618","79258315","52699071488"
"30.29","8921.5","4092.6","0","3579","18690.7","15608.3","1710618","79258315","52699071488"
"30.66","8924.9","4092.6","0","3579","18706.3","15609.8","1710618","79258315","52699071488"
"31.03","8928.9","4092.6","0","3579","18695.6","15607.7","1710619","79258316","52699071488"
"31.38","9071.2","4092.6","0","3579","18855.4","15607.4","1710620","79258324","52699071488"
"31.74","9091.9","4092.6","0","3579","18860","15607.5","1710620","79258324","52699071488"
"32.08","9095.3","4092.6","0","3579","18863.5","15609.1","1710620","79258324","52699071488"
"32.43","9099.3","4092.6","0","3579","18881.1","15608.7","1710620","79258324","52699071488"
"32.8","9365.7","4092.6","0","3579","19135.1","15608.2","1710620","79258324","52699071488"
"33.15","9691","4092.6","0","3579","19507.1","15605.5","1710620","79258324","52699071488"
"33.49","9845.9","4092.6","0","3579","19627.3","15606.3","1710620","79258324","52699071488"
"33.86","9896.2","4092.6","0","3579","19688.7","15606.6","1710620","79258324","52699071488"
"34.22","9985","4092.6","0","3579","19756.2","15608.1","1710620","79258324","52699071488"
"34.57","9988.3","4092.6","0","3579","19770.9","15611","1710620","79258324","52699071488"
"34.94","10058.4","4092.6","0","3579","19860.2","15610.5","1710620","79258324","52699071488"
"35.29","10155.4","4092.6","0","3579","19926.4","15609.1","1710621","79258332","52699071488"
"35.63","10158.8","4092.6","0","3579","19942.3","15607.3","1710621","79258332","52699071488"
"35.97","10158.8","4092.6","0","3579","19930.8","15608.5","1710621","79258332","52699071488"
"36.33","10349.2","4092.6","0","3579","20149.8","15605.7","1710621","79258332","52699071488"
"36.69","10609.3","4092.6","0","3579","20380.7","15605.7","1710621","79258332","52699071488"
"37.06","10819.4","4092.6","0","3579","20590","15606.3","1710621","79258332","52699071488"
"37.42","10855.4","4092.6","0","3579","20665.3","15604.8","1710621","79258332","52699071488"
"37.78","10958.4","4092.6","0","3579","20729.6","15605.9","1710621","79258332","52699071488"
"38.12","10961.8","4092.6","0","3579","20733.7","15607.6","1710621","79258332","52699071488"
