"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"22.62","17423.4","8299.6","0","7848","24790.5","19133.4","1901485","98351131","130898142720"
"22.98","17423.4","8299.6","0","7848","24772.7","19121.3","1901485","98351131","130898146816"
"23.33","17423.4","8299.6","0","7848","24771.8","19121.3","1901486","98351132","130898146816"
"23.67","17423.4","8299.6","0","7848","24774.1","19119.4","1901486","98351132","130898146816"
"24.06","17423.4","8299.6","0","7848","24772.5","19121.2","1901489","98351135","130901292544"
"24.42","17743.7","8299.6","0","7848","25106.1","19123.4","1902003","98438274","131361965568"
"24.77","18206.7","8299.6","0","7848","25568.1","19125.8","1902570","98561632","131860948480"
"25.11","18643.8","8299.6","0","7848","25990.2","19125.8","1903060","98669124","132200605184"
"25.49","18892.2","8299.6","0","7848","26258.3","19125.9","1903407","98743189","132645808128"
"25.84","19411.9","8299.6","0","7848","26781.9","19124","1904110","98881727","133181491200"
"26.18","19862","8299.6","0","7848","27215.8","19125.9","1904610","98991525","133521188864"
"26.56","20142","8299.6","0","7848","27509.7","19124.4","1905265","99071499","133964589056"
"26.92","20583.4","8299.6","0","7848","27941.4","19124.2","1906310","99187814","134434691072"
"27.29","20985.6","8299.6","0","7848","28347.8","19126.2","1907193","99289017","134818911232"
"27.64","21080.1","8299.6","0","7847","28401.3","19125.4","1907271","99308361","134818911232"
"28","21080.1","8299.6","0","7847","28413.2","19140.2","1907296","99312168","134901752832"
"28.36","21188.1","8299.6","0","7847","28518","19138.2","1907401","99335853","134931387392"
"28.7","21188.1","8299.6","0","7847","28524.2","19135.7","1907401","99335853","134931387392"
"29.05","21188.1","8299.6","0","7847","28518.5","19131.3","1907402","99335854","134931391488"
"29.43","21188.1","8299.6","0","7847","28533.1","19130.6","1907403","99335855","134931391488"
"29.78","21188.1","8299.6","0","7847","28519.3","19133.9","1907403","99335855","134931395584"
"30.15","21188.1","8299.6","0","7847","28520.6","19137.2","1907404","99335856","134931395584"
"30.51","21400.4","8299.6","0","7847","28741","19132.2","1907733","99400415","135310343168"
"30.86","21861.4","8299.6","0","7847","29206.1","19127.9","1908348","99521391","135782887424"
"31.2","22266.5","8299.6","0","7847","29611.8","19130.2","1908889","99628488","136239255552"
"31.55","22464.5","8299.6","0","7847","29780.7","19123.2","1909366","99682081","136465042944"
"31.9","22939.6","8299.6","0","7843","30257.1","19122.4","1909984","99808024","136940162560"
"32.26","23363.6","8299.6","0","7839","30679.8","19123.1","1910535","99920013","137434971648"
"32.61","23686.7","8299.6","0","7839","30991.1","19123.1","1911229","100000379","137654778368"
"32.98","23743.5","8299.6","0","7839","31063.2","19137.4","1911905","100018870","137735741952"
"33.33","23765.7","8299.6","0","7839","31086.1","19138","1912462","100028447","137779024384"
"33.69","23847.8","8299.6","0","7839","31162.4","19131.7","1912780","100052166","137888489472"
"34.08","23946.1","8299.6","0","7839","31260.7","19131.4","1913140","100079308","138004168704"
"34.44","23922.1","8299.7","0","7839","31331.1","19122.6","1913417","100105546","138091830784"
"34.78","23943.8","8299.7","0","7839","31284.2","19122.3","1914276","100117172","138134557696"
"35.12","23963.3","8299.7","0","7839","31316","19122.2","1914926","100126486","138179274752"
"35.48","24001.9","8299.7","0","7839","31354.1","19119.5","1915615","100142827","138255738880"
"35.83","24099","8299.7","0","7839","31450.6","19120.2","1915904","100169407","138365904896"
"36.18","24199.5","8299.7","0","7839","31544.8","19112.3","1916171","100196574","138482036224"
"36.55","24243.1","8299.7","0","7839","31584","19109.1","1916686","100219286","138562351616"
"36.9","24263.8","8299.7","0","7839","31607","19110","1917428","100231524","138602335232"
"37.28","24286.6","8299.7","0","7839","31633.5","19113.4","1917450","100237156","138627501056"
"37.65","24357.7","8299.7","0","7839","31701.3","19111.8","1917545","100257630","138730232832"
"38.01","24422.2","8299.7","0","7839","31768","19111.1","1917616","100272987","138769021952"
"38.37","24424.3","8299.7","0","7839","31769.9","19107.1","1917618","100273499","138772167680"
"38.75","24426.7","8299.7","0","7839","31773.9","19105.3","1917627","100274098","138774264832"
"39.13","24429","8299.7","0","7839","31775.3","19106","1917630","100274866","138776361984"
"39.52","24449.8","8299.7","0","7839","31788.1","19107.2","1917678","100282156","138806746112"
"39.88","24456.3","8299.7","0","7839","31803","19111.3","1917681","100282794","138809883648"
"40.25","24458.6","8299.7","0","7839","31805.8","19107.3","1917683","100283306","138811980800"
"40.6","24489.3","8299.7","0","7839","31825.1","19105.7","1917720","100291496","138844478464"
"40.96","24491.4","8299.7","0","7839","31836.3","19106.2","1917722","100292008","138847624192"
"41.33","24493.6","8299.7","0","7839","31839.6","19107.2","1917724","100292520","138849721344"
"41.7","24523.9","8299.7","0","7839","31859.3","19104.5","1917767","100300964","138883259392"
"42.07","24526.1","8299.7","0","7839","31869.6","19104.1","1917769","100301476","138885356544"
"42.42","24528.4","8299.7","0","7839","31881.5","19102.8","1917774","100302756","138894793728"
"42.78","24537.4","8299.7","0","7839","31880.3","19102.7","1917780","100304292","138897939456"
"43.15","24539.7","8299.7","0","7839","31884.3","19102.6","1917782","100304804","138900036608"
"43.51","24560.9","8299.7","0","7839","31898.7","19104.7","1917816","100312226","138929388544"
"43.87","24569","8299.7","0","7839","31913.4","19105.1","1917818","100312738","138931485696"
"44.25","24571.3","8299.7","0","7839","31914.7","19103","1917820","100313250","138934631424"
"44.62","24597.4","8299.7","0","7839","31934.3","19105","1917846","100319906","138961894400"
"44.98","24599.7","8299.7","0","7839","31944.1","19104.5","1917848","100320418","138963991552"
"45.34","24601.9","8299.7","0","7839","31945.8","19104.5","1917851","100321186","138966088704"
"45.71","24630.9","8299.7","0","7839","31965.4","19104","1917880","100328610","138996497408"
"46.08","24633.2","8299.7","0","7839","31977.4","19105.2","1917882","100329122","138998594560"
"46.43","24635.6","8299.7","0","7839","31992.7","19103.8","1917890","100331170","139011177472"
"46.79","24646.5","8299.7","0","7839","31987.3","19103","1917901","100332706","139014315008"
"47.15","24648.6","8299.7","0","7839","31991.1","19102.1","1917903","100333216","139016412160"
"47.53","24668.5","8299.7","0","7839","32004.9","19101.3","1917935","100340126","139044715520"
"47.89","24677.2","8299.7","0","7839","32018.9","19101","1917938","100340894","139046812672"
"48.25","24679.3","8299.7","0","7839","32019.6","19101.5","1917940","100341406","139049958400"
"48.62","24701.5","8299.7","0","7839","32035.9","19102.4","1917962","100347038","139073027072"
"48.98","24703.6","8299.7","0","7847","32046","19114.6","1917964","100347550","139075124224"
"49.34","24705.8","8299.7","0","7847","32047.1","19113.8","1917967","100348318","139077221376"
"49.71","24690.4","8299.7","0","7847","32038.2","19114.7","1917967","100348318","139077221376"
"50.08","24705.2","8299.7","0","7847","32060.2","19114.1","1918017","100359580","139157417984"
"50.42","24546.9","8299.7","0","7847","32064.8","19114.3","1918147","100367979","139157749760"
"50.76","24531","8299.7","0","7847","31949.8","19118.6","1918147","100367979","139216478208"
"51.14","24639.5","8299.7","0","7847","32063.1","19115.6","1918335","100395766","139271614464"
"51.5","24639.8","8299.7","0","7847","32075.2","19113","1918342","100395811","139271766016"
"51.86","24640.1","8299.7","0","7847","32065.1","19111.8","1918343","100395815","139271798784"
"52.2","24640.2","8299.7","0","7847","32066.2","19112.1","1918345","100395825","139271806976"
"52.56","24640.2","8299.7","0","7847","32075.4","19110.4","1918345","100395825","139271806976"
"52.92","24642.5","8299.7","0","7847","32064.3","19111.2","1918355","100396603","139307442176"
"53.28","24798.3","8299.7","0","7847","32214.8","19110.1","1918692","100470045","139595702272"
"53.64","24959.9","8299.7","0","7847","32274.1","19110.2","1919034","100539406","139918577664"
"53.99","24959.3","8299.7","0","7847","32274.3","19112.2","1919312","100600310","140178526208"
"54.33","24959.1","8299.7","0","7847","32274.3","19109.7","1919628","100668376","140442632192"
"54.68","24989.6","8299.7","0","7847","32308.8","19112.6","1919797","100702659","140528566272"
"55.04","24989.6","8299.7","0","7853","32311.7","19126.9","1919973","100702936","140531699712"
"55.41","24989.6","8299.7","0","8053","32407.1","19414.2","1920165","100704524","140536124928"
"55.78","24989.6","8299.7","0","8053","32410.5","19409.2","1920167","100704541","140536124928"
"56.17","24989.6","8299.7","0","8053","32404.6","19402.4","1920168","100704549","140536157696"
"56.53","24934.1","8299.7","0","8050","32323.2","19403","1920219","100715554","140604352000"
"56.89","24919.6","8299.7","0","8050","32301","19400.8","1920245","100721198","140604352000"
"57.26","24929.7","8299.7","0","8050","32302.3","19401","1920321","100724251","140639910400"
"57.61","25016.6","8299.7","0","8050","32383.4","19400.9","1920680","100794881","140971153920"
"57.98","25069.2","8299.7","0","8050","32323.9","19271.3","1921046","100879348","141349579776"
"58.36","25137.1","8299.7","0","8050","32383.7","19282.3","1921468","100964387","141679868416"
"58.73","25147.9","8299.7","0","8050","32397.9","19285.7","1921911","101048299","141948833280"
"59.09","25140.8","8299.7","0","8050","32398.8","19282.7","1922080","101057268","142056181248"
"59.47","25144.4","8299.7","0","8050","32403.1","19278.9","1922522","101155286","142471306752"
"59.84","25159.5","8299.7","0","8050","32403.2","19273.4","1922945","101249461","142862290432"
"60.21","25155.9","8299.6","0","8050","32405.7","19272.9","1923408","101344905","143252180480"
"60.58","25109","8299.6","0","8049","32385.7","19287.7","1923733","101375887","143285784064"
"60.96","25129.9","8299.6","0","8049","32417.6","19295.8","1923928","101403757","143400041984"
"61.34","25105.7","8299.6","0","8050","32408.4","19301.6","1923940","101403835","143400337920"
"61.71","25062.1","8299.6","0","8050","32369.4","19301.9","1923966","101404015","143401600000"
"62.08","25062.2","8299.6","0","8050","32369.1","19303.4","1924003","101404184","143401681408"
"62.42","25062.3","8299.6","0","8050","32386.8","19303.9","1924005","101404193","143401681408"
"62.76","25064.6","8299.6","0","8050","32370.3","19303.6","1924014","101404966","143448908288"
"63.14","25109.7","8299.6","0","8050","32409.9","19298.6","1924378","101479443","143768613376"
"63.52","25138.3","8299.6","0","8050","32409.8","19310.4","1924675","101545043","144050778624"
"63.87","25144.4","8299.6","0","8050","32409.8","19306.1","1925044","101625394","144374678016"
"64.25","25144","8299.6","0","8050","32409.8","19304.7","1925407","101701643","144702734848"
"64.61","25167.9","8299.6","0","8050","32408.9","19282.4","1925681","101748449","144890245632"
"64.96","25159.8","8299.6","0","8050","32408.9","19287.7","1926049","101833178","145223688704"
"65.34","25153.3","8299.6","0","8050","32409.9","19283.8","1926437","101915387","145579266560"
"65.71","25176","8299.6","0","8050","32412.4","19284.7","1926853","102005736","145955533312"
"66.08","25185.5","8299.6","0","8050","32409.8","19271.5","1927210","102057550","146157352448"
"66.45","25184.7","8299.6","0","8050","32408.8","19270.7","1927615","102146635","146532767232"
"66.82","25189","8299.6","0","8050","32409.8","19265.9","1928017","102235952","146876564992"
"67.19","25181.6","8299.6","0","8050","32409","19266.2","1928361","102311186","147181581824"
"67.54","25209.9","8299.6","0","8050","32406.4","19252.5","1928839","102381130","147403286016"
"67.89","25209.2","8299.6","0","8050","32403","19250.8","1928853","102381237","147403527680"
"68.25","25237.7","8299.6","0","8050","32409.8","19238.5","1928942","102399937","147517974016"
"68.59","25186.4","8299.6","0","8050","32375","19254.2","1929051","102409290","147518301696"
"68.96","25186.7","8299.6","0","8050","32382.2","19253.3","1929081","102409498","147519153664"
"69.33","25187","8299.6","0","8050","32383","19254","1929081","102409498","147519186432"
"69.67","25187.1","8299.6","0","8050","32389.9","19247.4","1929083","102409514","147519186432"
"70.02","25187.1","8299.6","0","8050","32377.4","19245.5","1929083","102409514","147519186432"
"70.37","25189.4","8299.6","0","8050","32370.7","19240.3","1929091","102410281","147565315584"
"70.72","25234.6","8299.6","0","8050","32409.8","19242.6","1929375","102475299","147854697984"
"71.08","25227.5","8299.6","0","8050","32409.9","19242.3","1929744","102545692","148150363648"
"71.47","25221.4","8299.6","0","8050","32409","19244.7","1930129","102624273","148487968256"
"71.82","25208","8299.6","0","8050","32409.8","19264.6","1930478","102705953","148786942464"
"72.18","25195.9","8299.6","0","8050","32407.8","19271.4","1930788","102764500","148973199360"
"72.54","25201.4","8299.6","0","8050","32409.5","19269.1","1930919","102794271","149176918016"
"72.89","25195.5","8299.6","0","8050","32409.8","19269.7","1931360","102889493","149548081152"
"73.25","25197.3","8299.6","0","8050","32409.8","19273","1931820","102981386","149933916160"
"73.6","25193.4","8299.6","0","8050","32409.8","19265.1","1932261","103072772","150307180544"
"73.96","25194.9","8299.6","0","8050","32409.9","19263","1932718","103132785","150552993792"
"74.32","25190.2","8299.6","0","8050","32409.5","19269.1","1933128","103219055","150905298944"
"74.66","25185.9","8299.6","0","8050","32409.8","19273.4","1933543","103308642","151265959936"
"75.02","25185.8","8299.6","0","8050","32409.8","19272.9","1933932","103394398","151617212416"
"75.37","25187.1","8299.7","0","8050","32409.5","19270.1","1934405","103472801","151874589696"
"75.73","25136.2","8299.7","0","8050","32366.9","19268.1","1934414","103472873","151913403392"
"76.07","25188.4","8299.7","0","8050","32408.8","19267.6","1934624","103500655","151988483072"
"76.43","25179.8","8299.7","0","8050","32407.3","19266.9","1934629","103500688","151988618240"
"76.79","25141","8299.7","0","8050","32373.9","19264.2","1934646","103500821","151989163008"
"77.14","25141.1","8299.7","0","8050","32369","19266.4","1934648","103500837","151989195776"
"77.49","25141.1","8299.7","0","8050","32384.9","19272.6","1934648","103500837","151989195776"
"77.85","25143.5","8299.7","0","8050","32369.5","19270.8","1934657","103501608","152068916224"
"78.2","25187.8","8299.7","0","8050","32409.9","19270.1","1934974","103569692","152316298240"
"78.56","25223.6","8299.7","0","8050","32408.9","19264.8","1935369","103649819","152662586368"
"78.91","25216.9","8299.7","0","8050","32409.8","19267.8","1935784","103731971","152982041600"
"79.26","25227.9","8299.7","0","8050","32409.8","19262.1","1936102","103801351","153278813184"
"79.61","25230.2","8299.7","0","8050","32409.9","19259.5","1936292","103831788","153408714752"
"79.98","25230.5","8299.7","0","8054","32408.9","19268.1","1936651","103908839","153723308032"
"80.34","25211","8299.7","0","8054","32409.8","19278.1","1937012","103982301","154038816256"
"80.69","25213.2","8299.7","0","8054","32409.9","19279.4","1937410","104065994","154373242368"
"81.05","25206.8","8299.7","0","8054","32408.7","19281.6","1937781","104137050","154595086848"
"81.4","25206.7","8299.7","0","8054","32409.8","19282.8","1937957","104158646","154750636544"
"81.75","25206.3","8299.7","0","8054","32409.9","19286.2","1938337","104241312","155089220096"
"82.11","25198.5","8299.7","0","8054","32409.8","19288.6","1938779","104320942","155416415232"
"82.47","25191.3","8299.7","0","8054","32409.9","19288.8","1939156","104402842","155762347008"
"82.83","25231.6","8299.7","0","8054","32412.3","19257.5","1939551","104455721","155900456960"
"83.18","25211.8","8299.7","0","8054","32399.9","19259.2","1939555","104455753","155900776448"
"83.52","25195.2","8299.7","0","8085","32381.4","19294.3","1939867","104483566","156014411776"
"83.87","25195.6","8299.7","0","8085","32387.5","19295.7","1939873","104483607","156014546944"
"84.23","25195.9","8299.7","0","8087","32388.6","19297.9","1939890","104483740","156015091712"
"84.57","25196","8299.7","0","8087","32400.3","19297.6","1939892","104483756","156015124480"
"84.93","25196.1","8299.7","0","8087","32388.3","19299.3","1939892","104483756","156015124480"
"85.28","25203.7","8299.7","0","8082","32408.9","19308.8","1939995","104491162","156105129984"
"85.63","25218.5","8299.7","0","8061","32409.1","19311","1940335","104565322","156411035648"
"85.99","25216.2","8299.7","0","8061","32409.1","19308.8","1940694","104640767","156719972352"
"86.34","25216.8","8299.7","0","8061","32409.1","19305","1941077","104713391","157020651520"
"86.69","25215.5","8299.7","0","8061","32409.1","19304.1","1941466","104789599","157322510336"
