"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"22.91","14822.2","4057.7","0","3581","24432.8","15509.3","1755810","82363983","65537367040"
"23.25","15125.3","4057.7","0","3581","24709.8","15496.2","1756131","82435903","65771166720"
"23.59","15542.3","4057.7","0","3581","25148.3","15497.2","1756681","82555679","66311027712"
"23.96","16058.4","4057.7","0","3581","25662.9","15497.8","1757312","82692857","66894920704"
"24.31","16343.4","4057.7","0","3581","25937.1","15499.6","1757603","82758125","67114015744"
"24.67","16706.5","4057.7","0","3581","26312.7","15501.1","1758713","82858685","67552824320"
"25.04","17109.5","4057.7","0","3581","26724.4","15499.7","1759765","82966806","67988073472"
"25.41","17511.6","4057.7","0","3581","27128.9","15501.1","1760840","83071724","68331997184"
"25.78","17561.6","4057.7","0","3581","27164.7","15502.1","1760881","83075184","68331997184"
"26.14","17696.6","4057.7","0","3581","27294.4","15501.2","1761090","83109947","68478601216"
"26.5","17700.6","4057.7","0","3581","27301","15498.7","1761100","83110976","68482140160"
"26.86","17708","4057.7","0","3581","27305.9","15498.7","1761127","83112865","68511451136"
"27.22","17840","4057.7","0","3581","27443.4","15500.5","1761292","83151114","68653488128"
"27.56","17871","4057.7","0","3581","27484.8","15514.8","1761315","83154818","68660619264"
"27.92","17874.4","4057.7","0","3581","27499.7","15512.9","1761363","83155682","68661643264"
"28.29","17917.7","4057.7","0","3581","27542.7","15515.1","1761462","83175037","68855142400"
"28.64","18381.7","4057.7","0","3581","28000.6","15498.1","1762042","83298794","69351588352"
"29","18840.2","4057.7","0","3581","28432.5","15500.6","1762597","83418318","69843247616"
"29.35","19152.8","4057.7","0","3581","28670.4","15498.4","1762922","83492544","70090654208"
"29.71","19585.3","4057.7","0","3581","29114.3","15499.5","1763529","83613856","70642179584"
"30.08","20077.4","4057.7","0","3572","29435.5","15355.6","1764600","83747672","71233804288"
"30.44","20400.9","4057.7","0","3572","29749.4","15356.5","1765218","83825457","71485290496"
"30.79","20831","4057.7","0","3572","30203.3","15356","1765820","83948266","72047781888"
"31.14","21348.1","4057.7","0","3572","30690.5","15355.9","1766470","84084532","72592123904"
"31.49","21649.1","4057.7","0","3572","30978.8","15357.9","1766852","84155186","72755634176"
"31.85","21651.1","4057.7","0","3568","30995.4","15351.9","1766894","84164591","72802578432"
"32.21","21693.1","4057.7","0","3564","30991.7","15352.4","1766903","84166647","72802578432"
"32.58","21784.1","4057.7","0","3564","31072","15351.9","1767009","84189767","72901492736"
"32.94","21791.5","4057.7","0","3564","31098.1","15349.8","1767036","84191659","72905027584"
"33.29","21795.5","4057.7","0","3564","31090.4","15350.8","1767045","84192683","72945635328"
"33.66","21954.5","4057.7","0","3564","31245.7","15352.5","1767221","84233501","73081024512"
"34.02","21961.9","4057.7","0","3564","31269.4","15353.7","1767280","84235499","73084596224"
"34.38","21961.9","4057.7","0","3564","31261.4","15351.2","1767286","84236531","73113509888"
"34.76","22212.2","4057.7","0","3564","31524.4","15350","1767626","84310384","73508708352"
"35.13","22692.2","4057.7","0","3564","31972","15349.2","1768191","84435600","74014228480"
"35.5","23134.4","4057.7","0","3564","32235.3","15320.5","1770257","84555273","74456911872"
"35.85","23016.5","4057.7","0","3564","32291.8","15312","1770779","84608994","74677288960"
"36.19","23106.2","4057.7","0","3564","32026.7","15314.7","1771301","84715220","75147026432"
"36.55","23167.1","4057.7","0","3564","32027","15279.3","1771796","84823978","75594575872"
"36.91","23154.6","4057.7","0","3564","32026.5","15277.6","1772139","84895379","75787472896"
